4. FACILITY NAME,12. LATITUDE,13. LONGITUDE,116. PRODUCTION WSTE (8.1-8.7)
NICK BARBIERI TRUCKING LLC,38.387161,-122.728295,3280.3900000000003
NICK BARBIERI TRUCKING LLC,34.05951,-117.74326,0.0
ISU PETASYS INC.,34.30501,-118.45931,1005.0
US MARINE CORPS MCB CAMP PENDLETON,33.30666,-117.3408,1086657.9
AIRGAS USA LLC - SAN JOSE,37.34167,-121.90721,0.0
ITT CANNON LLC DBA BIW CONNECTOR SYSTEMS,38.44999,-122.73485,8590.0
ZYGO CORP EXTREME PRECISION OPTICS,37.98539,-122.33235,870.2057
BODYCOTE THERMAL PROCESSING,33.98204,-118.20488,106.18
HUMBOLDT SAWMILL CO & COGENERATION PLANT,40.483406,-124.10274,0.722
PERKINS PLANT,38.547084,-121.376044,0.235
ORCHID ORTHOPEDIC SOLUTIONS,34.10034,-118.00082,4269.0
GALLO GLASS CO,37.630957,-120.97472,673.164
HEXPOL LONG BEACH,33.881,-118.16283,936.0
GS POLYMERS INC.,34.02105,-117.51522,2642.0
QUAKER CITY PLATING & SILVERSMITH LTD,33.96973,-118.06159,28397.5
STREMICKS HERITAGE FOODS,33.91473,-117.49819,101258.5
STREMICKS HERITAGE FOODS,33.7597,-117.92365,272605.5
CENTRAL WIRE,33.75041,-117.23612,142.21
GOLDEN STATE VINTNERS,36.67711,-119.92777,3118.1
RIBOST TERMINAL LLC DBA WORLD OIL TERMINALS - LONG BEACH,33.77398,-118.210779,241.217793
VULCAN MATERIALS CO SUN VALLEY,34.22816,-118.38009,4.323
U.S. NAVY NBVC NAVAL AIR STATION POINT MUGU,34.111311,-119.098298,19040.600000000002
MEDICAL ILLUMINATION INTL,34.237776,-118.564183,0.0
CP KELCO,32.696772,-117.145403,3824.0
FS PRECISION TECHNOLOGY LLC,33.86488,-118.20724,459390.1
K-TUBE CORP,32.93492,-117.03997,7414.0
AMVAC CHEMICAL CORP,34.009444,-118.188056,143244.0
OLDCASTLE INFRASTRUCTURE INC.,36.94537,-120.07403,84134.7
JD HEISKELL & CO,36.000833,-119.302222,0.0
PHILLIPS 66 RICHMOND TERMINAL,37.909769,-122.366199,5284.7
STERIGENICS-LOS ANGELES FACILITY,33.996889,-118.19,176024.0
STEEL TECHNOLOGIES LLC,34.03224,-117.517959,32994.0
FORTERRA PIPE & PRECAST - FLORIN RD,38.4999,-121.39903,0.010792
PIONEER CIRCUITS INC,33.70722,-117.92311,59743.928550000004
PARKER HANNIFIN CORP VERIFLO DIV  RICHMOND,37.92892,-122.37819,5174.000001
LHOIST NORTH AMERICA NATIVADAD PLANT,36.74743,-121.60558,539.690107
CALIFORNIA DAIRIES INC VISALIA,36.34223,-119.39454,940993.79
SUPER STORE INDUSTRIES TURLOCK DAIRY DIV,37.485042,-120.876856,66306.79000000001
RHO-CHEM LLC,33.95785,-118.37533,177240.4
CALPORTLAND CO MIRAMAR,32.860756,-117.119543,1668.3999999999999
J R SIMPLOT CO,36.551156,-120.113717,68654.0
QUANTUMCLEAN,37.3874,-121.89207,18774.0
QUANTUMCLEAN,37.5073,-121.9488,123962.61
DAY-GLO COLOR CORP,33.9572,-118.18639,6900.27
FLYERS #3015,34.06223,-117.38168,0.0
MOOG AIRCRAFT GROUP TORRANCE OPERATIONS,33.84801,-118.30931,337.345246
FRITO LAY INC.,35.398111,-119.255371,213944.0
FRITO LAY INC.,37.6312,-120.9231,13076.4
NEWPORT LAMINATES INC,33.71292,-117.91173,25241.0
CEMEX FRIANT,36.92924,-119.73133,0.0
ELECTRONIC PRECISION SPECIALTIES INC,33.91984,-117.90394,2134.71
CEMEX ESCONDIDO PLANT DBA PALOMAR TRANSIT MIX,33.12328,-117.09571,0.0
US NAVAL SUBMARINE BASE SAN DIEGO,32.686011,-117.239742,7373.9
ARGO CHEMICAL INC,35.45613,-119.25726,1141.5
GENERAL HYDROPONICS,38.418,-122.75177,0.0
TIMBER PRODUCTS CO.,41.735262,-122.593188,0.0
SPECTRUM PLATING,33.904107,-118.275783,711.09
US GYPSUM CO,33.84379,-118.31886,3.34
US GYPSUM CO,32.79008,-115.85389,145.01000000000002
HAYDEN INDUSTRIAL PRODUCTS,34.07754,-117.2559,756.0
